epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1689.98,1.69695,1.41122,1.36922,0.60708,0.59116,0.60747,0.33295,1.77233,1.10232,1.32327,0.0084556,0.0084556,0.0084556
80,1712.07,1.6816,1.41123,1.36462,0.61381,0.58637,0.61435,0.33354,1.75839,1.09639,1.3265,0.0084358,0.0084358,0.0084358
81,1733.06,1.6768,1.40359,1.36164,0.66306,0.56987,0.63635,0.35064,1.75798,1.10579,1.33377,0.008416,0.008416,0.008416
82,1754.45,1.67738,1.39117,1.35655,0.61175,0.58551,0.61947,0.34227,1.72045,1.08257,1.30271,0.0083962,0.0083962,0.0083962
83,1775.85,1.67253,1.37256,1.35216,0.59014,0.60541,0.62406,0.33653,1.76629,1.07394,1.32063,0.0083764,0.0083764,0.0083764
84,1796.8,1.65909,1.35556,1.34219,0.52756,0.62848,0.61709,0.329,1.80767,1.08925,1.35243,0.0083566,0.0083566,0.0083566
85,1817.84,1.65484,1.37902,1.35369,0.59922,0.65914,0.62368,0.33932,1.71303,1.06014,1.29753,0.0083368,0.0083368,0.0083368
86,1838.97,1.66409,1.36255,1.3557,0.55745,0.66937,0.64378,0.34876,1.74648,1.07019,1.3201,0.008317,0.008317,0.008317
87,1859.89,1.65264,1.37014,1.35518,0.60881,0.62282,0.64157,0.33628,1.8034,1.06792,1.34379,0.0082972,0.0082972,0.0082972
88,1880.98,1.64137,1.3496,1.34544,0.61183,0.62265,0.63931,0.36007,1.73347,1.06377,1.31157,0.0082774,0.0082774,0.0082774
89,1902.33,1.65452,1.36905,1.35033,0.57508,0.67604,0.65427,0.34957,1.77441,1.06251,1.32695,0.0082576,0.0082576,0.0082576
90,1923.36,1.64288,1.34562,1.34013,0.65075,0.59173,0.64832,0.34911,1.77723,1.0791,1.3275,0.0082378,0.0082378,0.0082378
91,1944.39,1.6391,1.35994,1.34102,0.61109,0.61678,0.63248,0.33548,1.80843,1.08577,1.34283,0.008218,0.008218,0.008218
92,1965.48,1.62514,1.33625,1.3297,0.59266,0.63168,0.63267,0.34412,1.77746,1.06399,1.32586,0.0081982,0.0081982,0.0081982
93,1986.55,1.65062,1.35583,1.34861,0.64013,0.59006,0.6347,0.34455,1.78384,1.06678,1.33261,0.0081784,0.0081784,0.0081784
94,2007.64,1.63748,1.33804,1.33458,0.63033,0.64316,0.64136,0.34838,1.79531,1.07039,1.33732,0.0081586,0.0081586,0.0081586
95,2028.68,1.63039,1.33331,1.33452,0.57326,0.65995,0.63952,0.34419,1.79912,1.06849,1.34147,0.0081388,0.0081388,0.0081388
96,2049.86,1.62716,1.32465,1.3334,0.61447,0.69265,0.65621,0.36616,1.78353,1.04288,1.33721,0.008119,0.008119,0.008119
97,2071.11,1.62751,1.31493,1.32763,0.61467,0.68787,0.66136,0.35132,1.79017,1.06316,1.33341,0.0080992,0.0080992,0.0080992
98,2092.17,1.62092,1.31336,1.3278,0.604,0.64062,0.65171,0.35334,1.79715,1.05088,1.3348,0.0080794,0.0080794,0.0080794
99,2113.3,1.61003,1.31193,1.33047,0.62046,0.62289,0.63707,0.34081,1.79295,1.05083,1.33171,0.0080596,0.0080596,0.0080596
100,2134.35,1.61446,1.32024,1.32725,0.60971,0.63031,0.63964,0.34238,1.77646,1.03518,1.32581,0.0080398,0.0080398,0.0080398
101,2155.48,1.61779,1.30958,1.32691,0.62626,0.64047,0.65222,0.34616,1.75447,1.02109,1.30849,0.00802,0.00802,0.00802
102,2176.69,1.60069,1.29637,1.32088,0.67124,0.58933,0.66559,0.34896,1.77386,1.03263,1.32423,0.0080002,0.0080002,0.0080002
103,2197.74,1.60553,1.30807,1.3212,0.57706,0.6331,0.64825,0.35386,1.77401,1.04647,1.32987,0.0079804,0.0079804,0.0079804
104,2218.94,1.6126,1.30477,1.32591,0.75415,0.55364,0.65263,0.35111,1.77159,1.02229,1.32129,0.0079606,0.0079606,0.0079606
105,2240.06,1.59016,1.28655,1.31282,0.73793,0.57905,0.66884,0.36266,1.78056,1.03147,1.32388,0.0079408,0.0079408,0.0079408
